removed_feature,set,rep,rmse,accuracy,r2
winLen,Test,2,0.007717612575857484,0.459641710048607,0.2090299977933977
geneLen,Train,2,0.007736314071826913,0.48320345509750007,0.2291534640858851
geneLen,Development,2,0.008169122967740554,0.4582396196373042,0.20695324255892145
geneLen,Test,2,0.007677416356717386,0.4715534923781692,0.21724787752919472
none,Train,3,0.007637820144064155,0.5062870177859718,0.2558730808714994
none,Development,3,0.007563548836689615,0.4949706595233949,0.24430989815126591
none,Test,3,0.007683887407454973,0.4916167533793139,0.2406537416678396
gerp,Train,3,0.007634490521641545,0.5087221044485796,0.25652172710144483
gerp,Development,3,0.0075347878337713,0.5011761072877091,0.25004611597198356
gerp,Test,3,0.007750776365012448,0.47817329380024964,0.22737583922912052
mr,Train,3,0.007778646578483243,0.4835346489067179,0.22817962248629042
mr,Development,3,0.007624575424813118,0.4878886945758159,0.23206611202653016
mr,Test,3,0.007811555065691298,0.46738668504923186,0.2152110680528354
tau,Train,3,0.007678554720094483,0.4979239762889884,0.24791465182931005
tau,Development,3,0.007617316832579132,0.4837867956723602,0.23352756144914566
tau,Test,3,0.00780611075081307,0.466886682961505,0.2163046144980435
SIFTsorghum,Train,3,0.007761736424628796,0.48406633962936896,0.2315317261287172
SIFTsorghum,Development,3,0.007707042124705764,0.46649014747082884,0.21536447289830496
SIFTsorghum,Test,3,0.007848311015622346,0.45861838682205586,0.20780830979608156
SIFTcounts,Train,3,0.008095771171130688,0.4070217944352546,0.1639647110025344
SIFTcounts,Development,3,0.007981460689403174,0.40009440526282314,0.1584939146430996
SIFTcounts,Test,3,0.00809562011025926,0.39844746315472207,0.1570960026032071
frac,Train,3,0.007638665307952572,0.5081424291711635,0.25570838885608294
frac,Development,3,0.007559091853426742,0.49599292688005076,0.24520024892351666
frac,Test,3,0.007777306671896245,0.4718852090885763,0.2220775215944062
rho,Train,3,0.007905972629401072,0.4516811199773723,0.20270548961918244
rho,Development,3,0.007800715100531291,0.4436170178105405,0.19617531954217848
rho,Test,3,0.007970033732165082,0.42861158497132357,0.18304489428314874
Mpi,Train,3,0.007531663690537884,0.5278296664771652,0.27641425979819245
Mpi,Development,3,0.007418784869985937,0.5235950172075309,0.27296041386733005
Mpi,Test,3,0.00768873125019672,0.49030881626298023,0.2396960719359006
Mexp,Train,3,0.007634798975745315,0.507087691817943,0.25646164881424427
Mexp,Development,3,0.007620644844007007,0.48269209877288083,0.23285767037850158
Mexp,Test,3,0.007738595211557952,0.47943682827609163,0.2298024497986345
Sexp,Train,3,0.007657761362865369,0.503532096369344,0.25198239782762566
Sexp,Development,3,0.007546853439038017,0.49831717367219597,0.24764236085050406
Sexp,Test,3,0.007741137118184187,0.4791912779214766,0.22929639107905253
winLen,Train,3,0.007880674861557935,0.4603198186230439,0.20779973986543054
winLen,Development,3,0.007815509101803998,0.44171307632858614,0.1931235327421159
winLen,Test,3,0.008003299163045404,0.4210359725303874,0.17621102656128296
geneLen,Train,3,0.007733558043919696,0.4889164839273504,0.23710132640162151
geneLen,Development,3,0.0076043999137444885,0.48780545960389415,0.23612481931191198
geneLen,Test,3,0.007826729284604563,0.46100200073543973,0.21215914680282688
none,Train,4,0.007765111305142801,0.47701313934976036,0.225686894416122
none,Development,4,0.008013479309107913,0.45271876678826395,0.20436894723932353
none,Test,4,0.007833377587437698,0.4501256872988805,0.20173138020559456
gerp,Train,4,0.007663421124452579,0.49738982579890917,0.24583456660508463
gerp,Development,4,0.00787200739246446,0.48276511485271867,0.23221350007113772
gerp,Test,4,0.00771209659309783,0.47689420831604773,0.2262585624429274
mr,Train,4,0.007613806151944918,0.5100808664335585,0.25556827954114336
mr,Development,4,0.00783464958960113,0.49272819086844677,0.23948350274118257
mr,Test,4,0.007648674691486937,0.49256246881736054,0.23893225645467409
tau,Train,4,0.007681897683355198,0.4990553096153364,0.24219358700356786
tau,Development,4,0.007959440910808226,0.470774813125566,0.21506334358816193
tau,Test,4,0.007701408938168216,0.4837762258342517,0.22840162466777703
SIFTsorghum,Train,4,0.007651019076089934,0.49949451958760427,0.24827358899055518
SIFTsorghum,Development,4,0.007884633840357537,0.4796909053811254,0.22974851483488934
SIFTsorghum,Test,4,0.007724242075689276,0.4736283140907177,0.223819572501036
SIFTcounts,Train,4,0.0080326123728361,0.41441559539497497,0.17141921230134127
SIFTcounts,Development,4,0.008319879238497445,0.37819905865388886,0.1423629578424649
SIFTcounts,Test,4,0.008091266909502397,0.38519976515088394,0.14830521022196064
frac,Train,4,0.007667488755252876,0.49670298924690454,0.2450337543747183
frac,Development,4,0.007858280036256014,0.4859110596895656,0.2348889267076747
frac,Test,4,0.007661836135434499,0.48734254896266005,0.23631079090554774
rho,Train,4,0.007785652229026932,0.4739192838860583,0.2215849201624206
rho,Development,4,0.008063008946946781,0.44368962136889756,0.1945032944903866
rho,Test,4,0.007915332411075261,0.43271584521607526,0.1849406168405524
Mpi,Train,4,0.007591647028938567,0.5098663902051142,0.2598951428547128
Mpi,Development,4,0.007839279730637283,0.4894637005566678,0.23858433319560512
Mpi,Test,4,0.007711321720474337,0.4765509663434375,0.22641403791719128
Mexp,Train,4,0.007627079548368861,0.5066583303155339,0.2529704328943463
Mexp,Development,4,0.0078533492920997,0.4876958937092347,0.2358487762858712
Mexp,Test,4,0.00773748750477798,0.4712044281620516,0.22115532209590505
Sexp,Train,4,0.007624810236852884,0.5042439231649997,0.2534148993753669
Sexp,Development,4,0.007838278395620514,0.4893137553988351,0.23877883664535926
Sexp,Test,4,0.007705644953883852,0.47799254907091426,0.22755258476879336
winLen,Train,4,0.0077810573254612925,0.4746727866656047,0.22250345252614523
winLen,Development,4,0.008011523794940027,0.45469311053804434,0.20475721253541834
winLen,Test,4,0.007943710663437643,0.42714292885150723,0.1790857966697481
geneLen,Train,4,0.007721483467115519,0.48763316142170526,0.2343633203956138
geneLen,Development,4,0.007991460557672546,0.4585119337902678,0.2087352738693744
geneLen,Test,4,0.007743150203055511,0.47104372584087506,0.22001490635234056
none,Train,5,0.0076101091826635,0.5076010021593546,0.2537311883328369
none,Development,5,0.007767206777953766,0.5019265524496129,0.24876617311265936
none,Test,5,0.007737239498509936,0.4997285637709121,0.2470478476432003
gerp,Train,5,0.007621356973304463,0.5026817433039544,0.25152357783607615
gerp,Development,5,0.00779066453845792,0.49465875451768343,0.24422171479740462
gerp,Test,5,0.007656303843741229,0.513159622716361,0.26271802031305735
mr,Train,5,0.00771578490253413,0.4835286485587156,0.23286156785457135
mr,Development,5,0.007894817076498561,0.47388589936137965,0.22387880297004203
mr,Test,5,0.007914312482869945,0.46110805275928635,0.2121896431401148
tau,Train,5,0.007740703304138715,0.483067813441185,0.22789856500761185
tau,Development,5,0.007883665850321553,0.4821030978914106,0.2260697570231347
tau,Test,5,0.007833001404714143,0.4812276876569228,0.22829430099452297
SIFTsorghum,Train,5,0.007604172063426377,0.5063391099172766,0.254895155493981
SIFTsorghum,Development,5,0.007833906709172217,0.4865118009128058,0.23580851898664956
SIFTsorghum,Test,5,0.007714989234049793,0.5023676583574919,0.2513722052792007
SIFTcounts,Train,5,0.008033245494151823,0.4121225720481848,0.16843616261561034
SIFTcounts,Development,5,0.008298619770079814,0.3781855988576668,0.14245457589788213
SIFTcounts,Test,5,0.008115591274019443,0.4153487243106578,0.17160850445067632
frac,Train,5,0.007689198351783594,0.48868778484057934,0.2381391711728088
frac,Development,5,0.007828579603644126,0.4875315051071672,0.23684747558535268
frac,Test,5,0.0077314342294203964,0.49916352471399483,0.2481773073264102
